dataset,source,format,split,label,count
artifacts/datasets/gold-v1-source-aware.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,contexto_colonial_antecedentes,6
artifacts/datasets/gold-v1-source-aware.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,crisis_ideas_emancipadoras,29
artifacts/datasets/gold-v1-source-aware.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,liderazgos_diplomacia_proyectos,21
artifacts/datasets/gold-v1-source-aware.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,no_relevante,28
artifacts/datasets/gold-v1-source-aware.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,organizacion_consecuencias_republicanas,1
artifacts/datasets/gold-v1-source-aware.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,participacion_social_regional,17
artifacts/datasets/gold-v1-source-aware.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,campanias_conflictos_militares,1
artifacts/datasets/gold-v1-source-aware.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,contexto_colonial_antecedentes,14
artifacts/datasets/gold-v1-source-aware.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,crisis_ideas_emancipadoras,22
artifacts/datasets/gold-v1-source-aware.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,liderazgos_diplomacia_proyectos,1
artifacts/datasets/gold-v1-source-aware.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,no_relevante,22
artifacts/datasets/gold-v1-source-aware.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,organizacion_consecuencias_republicanas,2
artifacts/datasets/gold-v1-source-aware.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,participacion_social_regional,10
artifacts/datasets/gold-v1-source-aware.json,4ca9c84a-627b-4027-8216-fdc07c506727,pdf,test,campanias_conflictos_militares,6
artifacts/datasets/gold-v1-source-aware.json,4ca9c84a-627b-4027-8216-fdc07c506727,pdf,test,contexto_colonial_antecedentes,0
