dataset,source,format,split,label,count,work,author,identity_evidence,identity_status
artifacts/datasets/gold-v1-source-aware.json,9154f7f7-86c9-4bad-bcba-47eaf54b93e1,pdf,train,campanias_conflictos_militares,0,La Constitucion de 1823 y los inicios de la Republica,Carmen Villanueva,artifacts/reviews/villanueva-boundaries-v1.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9154f7f7-86c9-4bad-bcba-47eaf54b93e1,pdf,train,contexto_colonial_antecedentes,0,La Constitucion de 1823 y los inicios de la Republica,Carmen Villanueva,artifacts/reviews/villanueva-boundaries-v1.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9154f7f7-86c9-4bad-bcba-47eaf54b93e1,pdf,train,crisis_ideas_emancipadoras,2,La Constitucion de 1823 y los inicios de la Republica,Carmen Villanueva,artifacts/reviews/villanueva-boundaries-v1.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9154f7f7-86c9-4bad-bcba-47eaf54b93e1,pdf,train,liderazgos_diplomacia_proyectos,5,La Constitucion de 1823 y los inicios de la Republica,Carmen Villanueva,artifacts/reviews/villanueva-boundaries-v1.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9154f7f7-86c9-4bad-bcba-47eaf54b93e1,pdf,train,no_relevante,1,La Constitucion de 1823 y los inicios de la Republica,Carmen Villanueva,artifacts/reviews/villanueva-boundaries-v1.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9154f7f7-86c9-4bad-bcba-47eaf54b93e1,pdf,train,organizacion_consecuencias_republicanas,8,La Constitucion de 1823 y los inicios de la Republica,Carmen Villanueva,artifacts/reviews/villanueva-boundaries-v1.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9154f7f7-86c9-4bad-bcba-47eaf54b93e1,pdf,train,participacion_social_regional,2,La Constitucion de 1823 y los inicios de la Republica,Carmen Villanueva,artifacts/reviews/villanueva-boundaries-v1.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9f60a031-0183-478c-a1f8-a3bdd37d7b0b,pdf,train,campanias_conflictos_militares,0,Los primeros anos del Peru republicano,Juan Luis Orrego Penagos,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9f60a031-0183-478c-a1f8-a3bdd37d7b0b,pdf,train,contexto_colonial_antecedentes,0,Los primeros anos del Peru republicano,Juan Luis Orrego Penagos,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9f60a031-0183-478c-a1f8-a3bdd37d7b0b,pdf,train,crisis_ideas_emancipadoras,0,Los primeros anos del Peru republicano,Juan Luis Orrego Penagos,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9f60a031-0183-478c-a1f8-a3bdd37d7b0b,pdf,train,liderazgos_diplomacia_proyectos,4,Los primeros anos del Peru republicano,Juan Luis Orrego Penagos,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9f60a031-0183-478c-a1f8-a3bdd37d7b0b,pdf,train,no_relevante,11,Los primeros anos del Peru republicano,Juan Luis Orrego Penagos,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9f60a031-0183-478c-a1f8-a3bdd37d7b0b,pdf,train,organizacion_consecuencias_republicanas,27,Los primeros anos del Peru republicano,Juan Luis Orrego Penagos,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9f60a031-0183-478c-a1f8-a3bdd37d7b0b,pdf,train,participacion_social_regional,11,Los primeros anos del Peru republicano,Juan Luis Orrego Penagos,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9fecbe5a-9fb2-4002-a088-8a2810db938e,pdf,train,campanias_conflictos_militares,6,Los campesinos de Huamanga y la rebelion de 1814,Nelson Ernesto Pereyra Chavez,artifacts/reviews/boundary-resolution-v3.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9fecbe5a-9fb2-4002-a088-8a2810db938e,pdf,train,contexto_colonial_antecedentes,12,Los campesinos de Huamanga y la rebelion de 1814,Nelson Ernesto Pereyra Chavez,artifacts/reviews/boundary-resolution-v3.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9fecbe5a-9fb2-4002-a088-8a2810db938e,pdf,train,crisis_ideas_emancipadoras,3,Los campesinos de Huamanga y la rebelion de 1814,Nelson Ernesto Pereyra Chavez,artifacts/reviews/boundary-resolution-v3.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9fecbe5a-9fb2-4002-a088-8a2810db938e,pdf,train,liderazgos_diplomacia_proyectos,0,Los campesinos de Huamanga y la rebelion de 1814,Nelson Ernesto Pereyra Chavez,artifacts/reviews/boundary-resolution-v3.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9fecbe5a-9fb2-4002-a088-8a2810db938e,pdf,train,no_relevante,16,Los campesinos de Huamanga y la rebelion de 1814,Nelson Ernesto Pereyra Chavez,artifacts/reviews/boundary-resolution-v3.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9fecbe5a-9fb2-4002-a088-8a2810db938e,pdf,train,organizacion_consecuencias_republicanas,0,Los campesinos de Huamanga y la rebelion de 1814,Nelson Ernesto Pereyra Chavez,artifacts/reviews/boundary-resolution-v3.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,9fecbe5a-9fb2-4002-a088-8a2810db938e,pdf,train,participacion_social_regional,21,Los campesinos de Huamanga y la rebelion de 1814,Nelson Ernesto Pereyra Chavez,artifacts/reviews/boundary-resolution-v3.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,b23a4bf1-b9f4-4c08-bb89-a4cf4a67e004,pdf,val,campanias_conflictos_militares,4,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
artifacts/datasets/gold-v1-source-aware.json,b23a4bf1-b9f4-4c08-bb89-a4cf4a67e004,pdf,val,contexto_colonial_antecedentes,16,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
artifacts/datasets/gold-v1-source-aware.json,b23a4bf1-b9f4-4c08-bb89-a4cf4a67e004,pdf,val,crisis_ideas_emancipadoras,15,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
artifacts/datasets/gold-v1-source-aware.json,b23a4bf1-b9f4-4c08-bb89-a4cf4a67e004,pdf,val,liderazgos_diplomacia_proyectos,4,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
artifacts/datasets/gold-v1-source-aware.json,b23a4bf1-b9f4-4c08-bb89-a4cf4a67e004,pdf,val,no_relevante,16,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
artifacts/datasets/gold-v1-source-aware.json,b23a4bf1-b9f4-4c08-bb89-a4cf4a67e004,pdf,val,organizacion_consecuencias_republicanas,15,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
artifacts/datasets/gold-v1-source-aware.json,b23a4bf1-b9f4-4c08-bb89-a4cf4a67e004,pdf,val,participacion_social_regional,11,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
artifacts/datasets/gold-v1-source-aware.json,e32181bc-41d0-4400-a76d-eb11fc88bf71,pdf,train,campanias_conflictos_militares,10,Bandoleros o patriotas,Juan Fonseca Ariza,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,e32181bc-41d0-4400-a76d-eb11fc88bf71,pdf,train,contexto_colonial_antecedentes,0,Bandoleros o patriotas,Juan Fonseca Ariza,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,e32181bc-41d0-4400-a76d-eb11fc88bf71,pdf,train,crisis_ideas_emancipadoras,0,Bandoleros o patriotas,Juan Fonseca Ariza,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,e32181bc-41d0-4400-a76d-eb11fc88bf71,pdf,train,liderazgos_diplomacia_proyectos,6,Bandoleros o patriotas,Juan Fonseca Ariza,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,e32181bc-41d0-4400-a76d-eb11fc88bf71,pdf,train,no_relevante,4,Bandoleros o patriotas,Juan Fonseca Ariza,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,e32181bc-41d0-4400-a76d-eb11fc88bf71,pdf,train,organizacion_consecuencias_republicanas,0,Bandoleros o patriotas,Juan Fonseca Ariza,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
artifacts/datasets/gold-v1-source-aware.json,e32181bc-41d0-4400-a76d-eb11fc88bf71,pdf,train,participacion_social_regional,28,Bandoleros o patriotas,Juan Fonseca Ariza,artifacts/reviews/corpus-batch-v2.json,verified_previous_review
outputs/corpus-snapshot-v4/reviewed-export.json,08fa49e1-abac-5645-a35e-2d7ec4a8f05d,pdf,train,campanias_conflictos_militares,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,08fa49e1-abac-5645-a35e-2d7ec4a8f05d,pdf,train,contexto_colonial_antecedentes,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
